Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
03-Aug-21,205.3154,267.9184,929.569,929.5717
04-Aug-21,202.9242,267.9974,928.8985,928.8991
05-Aug-21,203.8468,268.0365,936.2033,936.2078
06-Aug-21,204.1788,268.5388,929.5647,929.566
09-Aug-21,203.1437,268.5643,917.53,917.5265
10-Aug-21,204.5434,268.4404,934.5692,934.5733
11-Aug-21,205.1568,268.4376,941.155,941.1613
12-Aug-21,205.4639,268.478,942.605,942.6008
13-Aug-21,204.8562,268.4407,943.6238,943.6185
16-Aug-21,203.2862,268.2847,941.6477,941.6458
17-Aug-21,204.0439,268.4431,938.2378,938.2372
18-Aug-21,203.3266,268.4394,933.5307,933.5238
19-Aug-21,201.9503,268.5303,920.5783,920.5807
20-Aug-21,200.3856,268.4536,914.8413,914.8444
23-Aug-21,203.4043,268.3872,926.5724,926.5694
24-Aug-21,205.047,268.3113,936.1159,936.1128
25-Aug-21,206.5532,268.3971,942.0466,942.0401
26-Aug-21,204.0408,268.2485,942.5512,942.5471
27-Aug-21,204.4127,268.1696,945.4105,945.4092
30-Aug-21,205.557,268.3306,945.4166,945.4182
31-Aug-21,204.7602,268.6333,945.2187,945.2169
01-Sep-21,203.8959,268.6135,941.9599,941.9623
02-Sep-21,206.0226,268.5905,945.7467,945.7468
03-Sep-21,204.4404,268.7001,947.7348,947.7387
07-Sep-21,204.616,268.8106,945.9807,945.9759
08-Sep-21,203.8842,268.5933,951.7491,951.7483
09-Sep-21,201.3898,268.5909,952.5567,952.5545
10-Sep-21,202.1639,268.6696,954.98,954.9851
13-Sep-21,201.8858,268.5825,953.7543,953.7516
14-Sep-21,202.1242,268.5876,951.3844,951.3842
15-Sep-21,203.0881,268.3624,965.3104,965.3084
16-Sep-21,204.5776,268.5597,959.4697,959.4725
17-Sep-21,205.5398,268.5621,956.2402,956.2444
20-Sep-21,204.5372,268.6222,945.7404,945.7402
21-Sep-21,205.8493,268.8454,940.3192,940.3135
22-Sep-21,207.0154,268.795,949.6584,949.6536
23-Sep-21,207.9989,268.6865,961.0485,961.0416
24-Sep-21,208.1608,268.6217,965.3627,965.3665
